PuzzleId,Rating,FEN,Moves,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
pBKZV,1468,3r2rk/p6p/b1p1pPp1/1p2P1p1/8/P1P1R2R/5PPP/6K1 w - - 2 28,h3h7 h8h7 e3h3,74,94,11646,attraction endgame kingsideAttack mate mateIn2 sacrifice short,https://lichess.org/3CCoVvk3/black#54,
DdkdO,1469,rnbq1b1r/ppp3pp/2kp4/5Q2/3P4/8/PPP2PPP/RN2KB1R w KQ - 3 10,f5b5,78,93,3173,mate mateIn1 oneMove opening,https://lichess.org/ved7ENrw/black#18,Russian_Game Russian_Game_Cochrane_Gambit
1xDza,1469,r6r/5pk1/p1R1pn2/1p1p1p2/3P1Ppq/1Q4N1/PP2BPP1/2R2K2 b - - 4 23,h4h1 g3h1 h8h1,87,48,256,backRankMate mate mateIn2 middlegame sacrifice short,https://lichess.org/qSDliUdJ#45,
KHW6a,1469,r1b2r2/pp2qppk/2n1N3/2bpP3/6Q1/2N5/PPP2PPP/R3K2R w KQ - 1 14,g4g7,106,76,87,master mate mateIn1 middlegame oneMove,https://lichess.org/OPP53kL9/black#26,French_Defense French_Defense_MacCutcheon_Variation
LmED7,1469,6k1/7p/p1ppbnpQ/1N2p3/3qP1P1/P4n2/2P5/R1K2B1R b - - 0 24,d4a1,277,25,16,hangingPiece master mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/tKG8mPe5#47,
qbVeP,1469,2r3k1/2r2ppp/p3p3/3pP3/1P1q4/P4Q2/6PP/2R2R1K w - - 2 26,f3f7 c7f7 c1c8 f7f8 f1f8,80,62,79,deflection endgame long mate mateIn3 sacrifice,https://lichess.org/sIzU6KRV/black#50,
WnRpy,1469,3q1r1k/p6p/7r/2pBpb2/1p1b1N2/3P2QP/PPP3RK/4R3 w - - 2 28,g3g7,88,88,527,master mate mateIn1 middlegame oneMove,https://lichess.org/yv6EN4Wk/black#54,
3mznK,1469,7r/1pqn1kp1/2n2pp1/pBbP4/8/PP4P1/1B3P1N/R2QR1K1 b - - 0 21,c7g3 g1f1 g3f2,74,94,1714,kingsideAttack mate mateIn2 middlegame pin short,https://lichess.org/mnWRFgLZ#41,
Sp8Tj,1470,1r1r2k1/5ppp/p7/8/5Nqn/Q2R2P1/1P3P1P/3R2K1 b - - 6 27,g4d1 d3d1 d8d1,75,93,1171,mate mateIn2 middlegame short xRayAttack,https://lichess.org/bAgjnSdC#53,
mtpRZ,1470,r5k1/2Bq3p/1ppQ1p2/p2p2p1/3Pb3/P1P3PP/1P4P1/4R2K b - - 3 29,d7h3 h1g1 h3g2,76,88,220,endgame kingsideAttack mate mateIn2 pin short,https://lichess.org/54hSdVyH#57,
kakb8,1470,rn1qkb1r/pp2ppp1/5n1p/4N3/2BP4/2N5/PP3PPP/R1BbK2R w KQkq - 0 10,c4f7,75,97,3871,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/0z8uo1TY/black#18,Caro-Kann_Defense Caro-Kann_Defense_Accelerated_Panov_Attack
DKPHJ,1470,5r1k/5B1p/p2R1Pp1/8/4b3/P3q2P/1P4P1/3Q3K b - - 0 30,e3h3 h1g1 h3g2,78,69,79,endgame mate mateIn2 pin short,https://lichess.org/qIEd8Asg#59,
